год	3727.5	28	
2  	человек	2723.0	39	
3  	время	2015.7	52	
4  	дело	1412.1	65	
5  	жизнь	1389.8	66	
6  	день	1258.4	71	
7  	рука	1200.6	74	
8  	раз	1131.8	78	
9  	работа	1058.3	87	
10  	слово	967.9	94	
11  	место	926.6	98	
12  	лицо	878.0	104	
13  	друг	874.2	106	
14  	глаз	857.6	110	
15  	вопрос	805.8	114	
16  	дом	792.6	118	
17  	сторона	768.3	121	
18  	страна	725.7	125	
19  	мир	714.7	128	
20  	случай	709.7	131	
21  	голова	709.4	132	
22  	ребенок	658.3	137	
23  	сила	645.8	140	
24  	конец	634.7	142	
25  	вид	620.1	145	
26  	система	617.8	146	
27  	часть	585.4	154	
28  	город	573.4	156	
29  	отношение	557.4	162	
30  	женщина	533.3	171	
31  	деньги	512.4	178	
32  	земля	494.4	184	
33  	машина	490.4	187	
34  	вода	484.8	191	
35  	отец	484.1	192	
36  	проблема	474.9	197	
37  	час	468.1	200	
38  	право	461.4	203	
39  	нога	459.2	205	
40  	решение	453.4	208	
41  	дверь	450.8	210	
42  	образ	445.9	212	
43  	история	443.9	214	
44  	власть	435.6	216	
45  	закон	433.4	217	
46  	война	425.9	219	
47  	бог	425.4	220	
48  	голос	424.5	221	
49  	тысяча	416.0	226	
50  	книга	413.9	230	
51  	возможность	407.5	234	
52  	результат	403.1	235	
53  	ночь	402.8	236	
54  	стол	402.5	237	
55  	имя	401.7	239	
56  	область	400.2	240	
57  	статья	395.0	244	
58  	число	393.5	246	
59  	компания	392.7	247	
60  	народ	385.6	252	
61  	жена	376.8	255	
62  	группа	372.8	258	
63  	развитие	372.6	259	
64  	процесс	371.7	260	
65  	суд	371.1	261	
66  	условие	368.1	265	
67  	средство	363.9	268	
68  	начало	361.4	270	
69  	свет	359.7	272	
70  	пора	358.2	273	
71  	путь	357.3	274	
72  	душа	356.8	275	
73  	уровень	348.5	280	
74  	форма	347.8	282	
75  	связь	346.1	283	
76  	минута	344.2	285	
